Entry requirements of this job:,Job description:,Jobs related to this code:,NS-SEC categorisations:,Tasks required by this job include:,This unit group is part of:,jobId,jobTitle
"There are no formal academic entry requirements. Training is typically provided on-the-job, supplemented by short courses. Operators are required to hold a Certificate of Training Achievement (CTA) card administered by Construction Skills, demonstrating basic skills and safety awareness.","Crane drivers supervise and undertake the operation of cranes, jib cranes, power driven hoisting machinery and power driven stationary engines to raise and lower mine and other cages, and to lift and move equipment, materials, machinery and containers.",Crane driverCrane operatorHaulage engine driverWinchman,"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","gives signals for movement of cage carrying workers/equipment;starts crane or engine motor and checks that cables run freely and that brakes and drum(s) are working;manipulates levers, switches and pedals to rotate jibs into position and turns winding drum to raise or lower hook, bucket or other holding equipment;lifts load or cage, or hauls object into required position and lowers or positions for ground workers to detach, unload or load;watches control panel for warning lights and indications of wind speed and direction and carrying capacity of crane;oils and greases machine and checks ropes.","Minor Group 822: MOBILE MACHINE DRIVERS AND OPERATIVESSub-Major Group 82: TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8221, CRANE DRIVERS
Entry is most common with GCSEs/S grades but is also possible with other academic qualifications. Professional qualifications are available and may be required for some posts.,"Credit controllers perform financial, administrative and other tasks in relation to credit control and debt collection.",Credit control clerkCredit controllerDebt management associateLoans administrator,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","receives requests for credit submissions and lending proposals;arranges for investigations of the credit worthiness of individuals or companies;deals with any enquiries or difficulties concerning the acceptance or rejection of credit applications;checks that accounting, recording and statutory procedures are adhered to for all credit transactions;arranges for the collection of arrears of payment.",Minor Group 412: ADMINISTRATIVE OCCUPATIONS: FINANCESub-Major Group 41: ADMINISTRATIVE OCCUPATIONSMajor Group 4: ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,4121, CREDIT CONTROLLERS
There are no pre-set entry requirements. Candidates are recruited with a variety of academic qualifications and/or relevant experience. Specialist qualifications may be required for work within certain sectors.,"Job holders in this unit group plan, organise and co-ordinate resources necessary for receiving and dealing with the responses, complaints or further requirements of purchasers and users of a product or service, and supervise customer service occupations.",After sales managerCall centre supervisorCustomer service managerCustomer service supervisorTeam leader (customer care),"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 5To find your exact NS-SEC code, please use the NS-SEC Coding Tool.",develops and implements policies and procedures to deal effectively with customer requirements and complaints;co-ordinates and controls the work of those within customer services departments;discusses customer responses with other managers with a view to improving the product or service provided;plans and co-ordinates the operations of help and advisory services to provide support for customers and users.,Minor Group 722: CUSTOMER SERVICE MANAGERS AND SUPERVISORSSub-Major Group 72: CUSTOMER SERVICE OCCUPATIONSMajor Group 7: SALES AND CUSTOMER SERVICE OCCUPATIONS,7220, CUSTOMER SERVICE MANAGERS AND SUPERVISORS
"There are no formal academic entry requirements, although many employers expect candidates to possess GCSEs/S grades. Training is typically provided on-the-job, supplemented by specialist short courses.",Job holders in this unit group perform a variety of customer service occupations not elsewhere classified in MINOR GROUP 721: Customer Service Occupations.,Customer adviserCustomer service administratorCustomer service adviserCustomer service assistantCustomer services representative,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","receives enquiries from potential and existing clients, discusses requirements, and recommends products or services;discusses pricing processes with clients, agrees payment arrangements and handles customer accounts;makes reservations, books tickets, organises insurance policies on behalf of customers;follows up clients to ensure their satisfaction with a product or service and to gain renewal of customer service agreements;addresses customer complaints and problems;informs customers of special promotions and new product launches.",Minor Group 721: CUSTOMER SERVICE OCCUPATIONSSub-Major Group 72: CUSTOMER SERVICE OCCUPATIONSMajor Group 7: SALES AND CUSTOMER SERVICE OCCUPATIONS,7219, CUSTOMER SERVICE OCCUPATIONS N.E.C.
"There are no formal academic requirements, although some dance schools may require candidates to have passed relevant dance Graded Examinations. Entry to courses is often via audition. Medical and physical assessments are required. Performers� courses typically last three years and lead to a diploma or certificate awarded by the school. Some degree courses are also available.","Dancers and choreographers devise, direct, rehearse and perform classical and contemporary dance routines.",Ballet dancerChoreographerDancerDance teacher,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","builds and maintains stamina, physical strength, agility and general health through fitness exercises and healthy eating;attends rehearsals to develop and practice dance routines for performance;participates in dance performance;demonstrates and directs dance moves, monitors and analyses technique and performance, and determines how improvements can be made.","Minor Group 341: ARTISTIC, LITERARY AND MEDIA OCCUPATIONSSub-Major Group 34: CULTURE, MEDIA AND SPORTS OCCUPATIONSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS",3414, DANCERS AND CHOREOGRAPHERS
No academic qualifications are required. Training is typically provided on-the-job. This may be supplemented by specialised training courses within larger agencies.,"Debt, rent and other cash collectors collect payments due or overdue from households and businesses and empty cash from prepayment meters or machines.",Collecting agentCollector (gas supplier)Debt collectorMeter readerVending operator,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","receives payment at centralised office or calls on household/business premises;records details of transaction, issues receipt or annotates rent book;reads gas, water and electricity meters;cleans, services and fills vending machines and collects money from meters, vending machines and other cash operated machinery;collects tolls from persons wishing to gain access to private roads, bridges, piers, etc. and operates tollgates to control entry;remits cash, cheques or credit notes to cashier, supervisor or bank, building society or post office.",Minor Group 712: SALES RELATED OCCUPATIONSSub-Major Group 71: SALES OCCUPATIONSMajor Group 7: SALES AND CUSTOMER SERVICE OCCUPATIONS,7122," DEBT, RENT AND OTHER CASH COLLECTORS"
Entry is most common with GCSEs/S grades. Training is available both off- and on-the-job. Most entrants work towards the National Certificate for Dental Nurses.,"Dental nurses prepare patients for, and assist with, dental examinations, prepare and sterilise instruments and maintain case records.",Dental assistantDental nurseDental nurse-receptionistDental surgery assistant,"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","prepares patient for examination;prepares and sterilises instruments and follows guidelines to maintain sterile conditions within the surgery;hands required equipment and medication to dentist during examination;assists with minor treatment, such as preparing materials for fillings;removes water and saliva from patient�s mouth during treatment;maintains records, processes and mounts x-ray films and undertakes reception duties.","Minor Group 614: CARING PERSONAL SERVICESSub-Major Group 61: CARING PERSONAL SERVICE OCCUPATIONSMajor Group 6: CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",6143, DENTAL NURSES
Entrants require an approved university degree and must have completed a period of postgraduate vocational training. Graduate entry to dental school is sometimes possible. Registration with the General Dental Council is a pre-requisite to practise. Specialist fields require further study and training.,"Dental practitioners diagnose dental and oral diseases, injuries and disorders, prescribe and administer treatment, recommend preventative action and, where necessary, refer the patient to a specialist.",Dental surgeonDentistOrthodontistPeriodontist,"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines patient�s teeth, gums and jaw, using dental and x-ray equipment, diagnoses dental conditions;assesses and recommends treatment options to patients;administers local anaesthetics;carries out clinical treatments, restores teeth affected by decay etc., treats gum disease and other disorders;constructs and fits braces, inlays, dentures and other appliances;supervises patient�s progress and advises on preventative action;educates patients on oral health care;refers patient to specialist, where necessary;maintains patients� dental health records;prepares and delivers lectures, undertakes research, and conducts and participates in clinical trials.",Minor Group 221: HEALTH PROFESSIONALSSub-Major Group 22: HEALTH PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS,2215, DENTAL PRACTITIONERS
"Design and development engineers usually possess an accredited university degree or equivalent qualification. All routes are followed by periods of appropriate training and relevant experience in order to qualify for membership of a chartered engineering institution. Incorporated engineers possess an accredited university degree, BTEC/SQA award or an apprenticeship leading to an NVQ/SVQ at Level 4.","Design and development engineers conceive engineering designs from product ideas or requirements in mechanical, electrical and electronic engineering.",Clinical engineerDesign engineerDevelopment engineerErgonomistResearch and development engineer,"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","assesses product requirements, including costs, manufacturing feasibility and market requirements;prepares working designs for steam, aero, turbine, marine and electrical engines, mechanical instruments, aircraft and missile structures, vehicle and ship structures, plant and machinery equipment, domestic electrical appliances, building systems and services, and electronic computing and telecommunications equipment;arranges construction and testing of model or prototype and modifies design if necessary;produces final design information for use in preparation of layouts, parts lists, etc.;prepares specifications for materials and other components.","Minor Group 212: ENGINEERING PROFESSIONALSSub-Major Group 21: SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY�PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS",2126, DESIGN AND DEVELOPMENT ENGINEERS
"Entry is most common with GCSEs/S grades or equivalent qualifications or experience, followed by up to three years training approved by the Association of British Dispensing Opticians (ABDO). Full-time, day-release or distance-learning options are available.","Dispensing opticians supply, fit and service spectacles, contact lenses and other optical aids in accordance with a prescription from an ophthalmologist or optometrist.",Dispensing opticianOptical dispenser,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","interprets prescription and measures patient�s face to determine distance between pupil centres, height of bridge of nose, etc.;advises patient on lens type and choice of spectacle framesprepares detailed instructions for workshopensures that completed spectacles conform to specification and fit the patient correctly and comfortablyfits spectacles and advises patient on lens care and any other difficulties likely to be experienced",Minor Group 321: HEALTH ASSOCIATE PROFESSIONALSSub-Major Group 32: HEALTH AND SOCIAL CARE ASSOCIATE PROFESSIONALSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,3216, DISPENSING OPTICIANS
"Entrants usually possess GCSEs/S grades, BTEC/ SQA awards, an appropriate GNVQ/GSVQ or A levels/H grades. Further training consists of courses of study and supervised practical experience.","Draughtspersons prepare technical drawings, plans, maps, charts and similar items.",CAD operatorCartographerDesign technicianDraughtsman,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines design specification to determine general requirementsconsiders the suitability of different materials with regard to the dimensions and weight and calculates the likely fatigue, stresses, tolerances, bonds and threads;prepares design drawings, plans or sketches and checks feasibility of construction and compliance with safety regulations;prepares detailed drawings, plans, charts or maps that include natural features, desired surface finish, elevations, electrical circuitry and other details as required;arranges for completed drawings to be reproduced for use as working drawings","Minor Group 312: DRAUGHTSPERSONS AND RELATED ARCHITECTURAL TECHNICIANSSub-Major Group 31: SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS",3122, DRAUGHTSPERSONS
"There are no formal academic requirements. Candidates must have held a current driving licence for four out of the last six years, have no motoring or criminal convictions and be over 21 years old. To gain registration as an Approved Driving Instructor, entrants must pass a three-part examination. Instructors for Large Goods Vehicles (LGVs) and Passenger Carrying Vehicles (PCVs) are trained internally or at specialist training establishments. NVQs/SVQs in Driving Instruction at Level 3 are available for instructors in all licence categories.","Driving instructors co-ordinate and undertake the instruction of people learning to drive cars, motorcycles, buses and haulage vehicles.",Driving instructorHGV instructorInstructor (driving school)Motorcycle instructor,"The simplified NS-SEC analytic class for this code is 4The simplified NS-SEC operational category for this code is 9.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.",checks instruction and learning standards and discusses teaching plans with other instructors;plans lessons in accordance with the needs and abilities of individual pupils;explains driving techniques and assists pupil with difficulties;familiarises pupil with the Highway Code and different road and traffic conditions;advises pupil when to apply for theoretical and practical driving tests and familiarises them with test procedures and standards.,"Minor Group 821: ROAD TRANSPORT DRIVERSSub-Major Group 82: TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8215, DRIVING INSTRUCTORS
"Jobholders usually possess an education-related degree or relevant postgraduate qualification and have gained relevant experience in teaching and/or school management. Before being appointed, an inspector has to attend a course of training provided or approved by OFSTED. Most inspectors are or have been head teachers, deputy heads or heads of department.","Education advisers and school inspectors plan, organise and direct the educational activities and resources in a local authority education area, and undertake inspections of schools and other training establishments excluding universities.",Curriculum adviserEducation adviserEducation officerSchool inspector,"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","advises on all aspects of education and ensures that all statutory educational requirements are being met;plans and advises on the provision of special schools for children with physical or learning disabilities;appoints and controls teaching staff;verifies that school buildings are adequately maintained;arranges for the provision of school medical and meals services;observes teaching, assesses learning level and discusses any apparent faults with teachers, heads of department and head teachers;prepares reports on schools concerning teaching standards, educational standards being achieved, the spiritual, moral and social development of pupils, resource management etc.",Minor Group 231: TEACHING AND EDUCATIONAL PROFESSIONALSSub-Major Group 23: TEACHING AND EDUCATIONAL PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS,2318, EDUCATION ADVISERS AND SCHOOL INSPECTORS
"Academic qualifications may be required by some employers, although entry is possible with relevant experience alone. CRB clearance is mandatory.",Educational support assistants work with teachers to provide one-to-one support for children with particular learning needs.,Education support assistantLearning support assistantNon-teaching assistant (schools)Special needs assistant (educational establishments)Support assistant (educational establishments),"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.7To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","supports schoolwork under teacher�s supervision;helps child understand instruction through a variety of means and encourages self-confidence and independence;identifies signs of distress and offers reassurance;implements care programmes, as appropriate;helps and encourages child to communicate;attends to child�s physical needs;provides feedback to teachers and completes and maintains records.","Minor Group 612: CHILDCARE AND RELATED PERSONAL SERVICESSub-Major Group 61: CARING PERSONAL SERVICE OCCUPATIONSMajor Group 6: CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",6126, EDUCATIONAL SUPPORT ASSISTANTS
Entry is by election.,"Elected representatives in national government formulate and ratify legislation and government policy, act as elected representatives in Parliament, European Parliament, Regional Parliaments or Assemblies, and as representatives of the government and its executive. Elected officers in local government act as representatives in the local authority and participate in the formulation, ratification and implementation of local government policies.",Councillor (local government)Member of Parliament,"The simplified NS-SEC analytic class for this code is 1.1The simplified NS-SEC operational category for this code is 2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","represents constituency within the legislature and advises and assists constituents on a variety of issues;acts as a Party representative within the constituency;participates in debates and votes on legislative and other matters;holds positions on parliamentary or local government committees;tables questions to ministers and introduces proposals for government action;recommends or reviews potential policy or legislative change, and offers advice and opinions on current policy;advises on the interpretation and implementation of policy decisions, acts and regulations;studies and acts upon any legislation that may affect the local authority.","Minor Group 111: CHIEF EXECUTIVES AND SENIOR OFFICIALSSub-Major Group 11: CORPORATE MANAGERS AND DIRECTORSMajor Group 1: MANAGERS, DIRECTORS AND SENIOR OFFICIALS",1116, ELECTED OFFICERS AND REPRESENTATIVES
There are no formal academic requirements although entrants typically possess GCSEs/S grades. Training is usually by apprenticeship and combines practical work experience and technical training. NVQs/ SVQs in Servicing Electronic Systems are available at Levels 2 and 3. Manufacturers may run specialised courses related to their products.,Job holders in this group perform a variety of electrical and electronic occupations not elsewhere classified in MINOR GROUP 524: Electrical and Electronic Trades.,Alarm engineerElectronics engineerField engineerLinesmanService engineer,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.4To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines drawings, wiring diagrams and specifications to determine appropriate methods and sequence of operations;places prepared parts and sub-assemblies in position, checks their alignment and secures with hand tools to install x-ray and medical equipment, aircraft instruments and other electronic equipment;removes protective sheath from wires and cables and connects by brazing, soldering or crimping and applies conductor insulation and protective coverings;examines for defect and repairs electronic and related equipment;tests for correct functioning and makes any further necessary adjustments;performs routine servicing tasks, such as cleaning and insulation testing;assists with the erection of wood poles or steel towers to carry overhead lines;connects and installs transformers, fuse gear, lightning arrestors, aircraft warning lights, cable boxes and other equipment;connects cables to test equipment and tests for balance, resistance, insulation and any defects;locates and repairs faults to lines and ancillary equipment.","Minor Group 524: ELECTRICAL AND ELECTRONIC TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5249, ELECTRICAL AND ELECTRONIC TRADES N.E.C.
"Entrants usually possess GCSEs/S grades, an Intermediate GNVQ/GSVQ Level II or a BTEC/ SQA award. NVQs/SVQs in Servicing Electronic Systems are available at Levels 2 and 3.","Electrical and electronics technicians perform a variety of miscellaneous technical support functions to assist with the design, development, installation, operation and maintenance of electrical and electronic systems.",Avionics technicianElectrical technicianElectronics technicianInstallation engineer (Electricity Supplier),"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","plans and prepares work and test schedules based on specifications and drawingssets up equipment, undertakes tests, takes readings, performs calculations and records and interprets data;plans installation methods, checks completed installation for safety and controls or undertakes the initial running of the new electrical or electronic equipment or system;diagnoses and detects faults and implements procedures to maintain efficient operation of systems and equipment;visits and advises clients on the use and servicing of electrical and electronic systems and equipment.","Minor Group 311: SCIENCE, ENGINEERING AND PRODUCTION TECHNICIANSSub-Major Group 31: SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS",3112, ELECTRICAL AND ELECTRONICS TECHNICIANS
"Electrical engineers usually possess an accredited university degree or equivalent qualification. After qualifying, periods of appropriate training and experience are required before membership of a chartered engineering institution is attainable. Incorporated engineers possess an accredited university degree, BTEC/SQA award or an apprenticeship leading to an NVQ/SVQ at Level 4. All routes are followed by periods of appropriate training and relevant experience.","Electrical engineers undertake research and design, direct construction and manage the operation and maintenance of electrical equipment, power stations, building control systems and other electrical products and systems.",Electrical engineer (professional)Electrical surveyorEquipment engineerPower engineerSignal engineer (railways),"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","supervises, controls and monitors the operation of electrical generation, transmission and distribution systems;determines and specifies manufacturing methods of electrical systems;ensures that manufacture, operation and maintenance comply with design specifications and contractual arrangements;organises and establishes control systems to monitor the performance and safety of electrical assemblies and systems.","Minor Group 212: ENGINEERING PROFESSIONALSSub-Major Group 21: SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY�PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS",2123, ELECTRICAL ENGINEERS
"Academic qualifications may not be required, though some GCSEs/S grades or an equivalent qualification may be an advantage. NVQs/SVQs in Servicing Electronic Systems are available at Levels 1, 2 and 3. Apprenticeships combining practical work experience and technical training are available at Levels 2 and 3. Entrants must have good eyesight and normal colour vision.","Electricians and electrical fitters assemble parts in the manufacture of electrical and electronic equipment, and install, maintain, and repair electrical plant, machinery, appliances and wiring.",Electrical contractorElectrical engineerElectrical fitterElectrician,"The simplified NS-SEC analytic class for this code is 5The simplified NS-SEC operational category for this code is 11.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines drawings, specifications and wiring diagrams to determine the method and sequence of operations;selects, cuts and lays wires and connects to sockets, plugs or terminals by crimping, soldering, brazing or bolting;cuts, bends and installs electrical conduit;assembles parts and sub-assemblies using hand tools and by brazing, riveting or welding;installs electrical plant, machinery and other electrical fixtures and appliances such as fuse boxes, generators, light sockets etc.;examines electrical plant or machinery, domestic appliances and other electrical assembly for faults using test equipment and replaces worn parts and faulty wiring.","Minor Group 524: ELECTRICAL AND ELECTRONIC TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5241, ELECTRICIANS AND ELECTRICAL FITTERS
"Electronics engineers usually possess an accredited university degree or equivalent qualification. After qualifying, periods of appropriate training and experience are required before membership of a chartered engineering institution is attainable. Incorporated engineers possess an accredited university degree, BTEC/SQA award or an apprenticeship leading to an NVQ/SVQ at Level 4. All routes are followed by periods of appropriate training and relevant experience.","Electronics engineers undertake research and design, direct construction and manage the operation and maintenance of electronic motors, communications systems, microwave systems, and other electronic equipment.",Avionics engineerBroadcasting engineer (professional)Electronics engineer (professional)Microwave engineerTelecommunications engineer (professional),"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","undertakes research and advises on all aspects of telecommunications equipment, radar, telemetry and remote control systems, data processing equipment, microwaves and other electronic equipment;determines and specifies appropriate production and/or installation methods and quality and safety standards;organises and establishes control systems to monitor performance and evaluate designs;tests, diagnoses faults and undertakes repair of electronic equipment.","Minor Group 212: ENGINEERING PROFESSIONALSSub-Major Group 21: SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY�PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS",2124, ELECTRONICS ENGINEERS
There are no formal academic entry requirements. Training is typically provided on-the-job. NVQs/ SVQs in Product Coating are available at Levels 2 and 3.,"Electroplaters operate continuous plant to coat metal parts and articles electrolytically, form metal articles by electro- and vacuum-deposition, dip and spray articles with another metal, plastic powder or other material and treat articles chemically to produce desired surface finishes.",ElectroplaterGalvaniserMetal sprayerPowder coater,"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","cleans and rinses article or pre-shaped form to be coated;masks area not to be covered with wax, resistant adhesive tape or other material;fits appropriate nozzle on spray gun, loads spray gun with appropriate coating material and prepares electrolytic solutions;sets machine, plant, or equipment controls to regulate electric current and temperature of molten zinc, tin, chromium, copper or other non-ferrous metal;immerses articles in plating solutions or sprays article until required thickness of coating has been deposited;removes article from solution and centrifuges, if necessary, to remove excess molten metal before cooling.","Minor Group 811: PROCESS OPERATIVESSub-Major Group 81: PROCESS, PLANT AND MACHINE OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8118, ELECTROPLATERS
There are no formal academic entry requirements. Training is typically provided on-the-job. NVQs/ SVQs in Administration are available at Level 1.,Workers in this unit group perform a variety of elementary clerical and administrative tasks within offices not elsewhere classified in MINOR GROUP: 921 Elementary Administration Occupations.,General assistantOffice juniorOffice workerReprographic technician,"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.6To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","copies, duplicates or destroys documents and other records;records and retrieves information;compiles, sorts and files correspondence;takes messages and distributes internal and external correspondence to office staff.",Minor Group 921: ELEMENTARY ADMINISTRATION OCCUPATIONSSub-Major Group 92: ELEMENTARY ADMINISTRATION AND SERVICE OCCUPATIONSMajor Group 9: ELEMENTARY OCCUPATIONS,9219, ELEMENTARY ADMINISTRATION OCCUPATIONS N.E.C.
No formal academic qualifications are required. Training may be provided on-the-job.,Workers in this unit group perform elementary cleansing service occupations not elsewhere classified in MINOR GROUP 923: Elementary Cleaning Occupations.,Amenity block attendantChimney cleanerSweep (chimney)Toilet attendant,"The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.4To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","selects appropriate brush head, pushes it through flue or chimney and collects soot and other dislodged deposits from flue or chimney with brush or vacuum equipment;cleans toilets, washrooms, rest rooms and other similar amenities;replenishes supplies of soap, toilet paper and towels;reports acts of vandalism and any defects in sanitary equipment;completes worksheets to note the date and time that amenities were last cleaned.",Minor Group 923: ELEMENTARY CLEANING OCCUPATIONSSub-Major Group 92: ELEMENTARY ADMINISTRATION AND SERVICE OCCUPATIONSMajor Group 9: ELEMENTARY OCCUPATIONS,9239, ELEMENTARY CLEANING OCCUPATIONS N.E.C.
"No academic qualifications are required. Training is typically provided on-the-job. NVQs/SVQs in a variety of construction and craft occupations are available at Levels 1, 2 and 3.","Job holders in this unit group perform a variety of general labouring and construction duties to assist building, civil engineering and related trades workers in the performance of their tasks.",Electrician�s mate (building construction)Ground worker (building construction)Hod carrierLabourer (building construction),"The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.4To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","conveys blocks, bricks, stone, mortar, roofing, felt, slates, wood and other building materials to the work area;assists with the erection of ladders, scaffolding and work platforms, the rigging of cradles of hoisting equipment and the attaching of slings, hooks and guide ropes;mixes mortar, grouting material, cement screed, and plaster, prepares adhesive, primer and paints and similar construction material, and undertakes basic decorating, painting, plumbing and other maintenance and repair tasks;cleans equipment and tools, clears work area and otherwise assists building and woodworking trades workers as directed;performs general labouring tasks such as digging trenches and foundations, removing wall coverings, and preparing surfaces by cleaning, sanding, filling, etc.;covers ceilings, floors, walls and exposed surfaces of boilers, pipes and plant with insulating material;heats and breaks up blocks of asphalt, bitumen or tar, stirs melting mixture, adds aggregate if required, pours mixture into buckets;measures and fixes timber and other structures to support excavations, cables or other rail, signal and telecommunications equipment;excavates, constructs and maintains land drainage systems and prepares graves for burial;operates, cleans and lubricates valves and sluices, removes weeds, dead animals and other debris from waterways and carries out minor repairs to banks and footbridges;helps diver into and out of diving suit, maintains communication with submerged diver and checks equipment and time spent under water.",Minor Group 912: ELEMENTARY CONSTRUCTION OCCUPATIONSSub-Major Group 91: ELEMENTARY TRADES AND RELATED OCCUPATIONSMajor Group 9: ELEMENTARY OCCUPATIONS,9120, ELEMENTARY CONSTRUCTION OCCUPATIONS
No academic qualifications are required. On-the- job training is provided. NVQs/SVQs may be available in some areas.,"Jobholders in this unit group assist the work of machine operatives and perform a variety of manual tasks in foundries, engineering and allied trades and in other process and plant operations not elsewhere classified in MINOR GROUP 913: Elementary Process Plant Occupations.",Factory workerFitter�s mateLabourer (engineering)Material handler,"The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.4To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","assists with the operation of furnaces and the preparation of castings;assists in setting up attachments on plant and machinery, and operates saws, shears or other equipment;conveys goods, materials, equipment, etc. to work area, assists in setting up machinery and equipment and prepares tools, lamps and other equipment for use;assists operative to mark out, bend, drill, galvanise, coat and otherwise machine metal;loads and unloads vehicles, trucks and trolleys;removes finished pieces from work area, paints or fixes identification labels or markers on products or containers;clears machine blockages, cleans machinery, equipment and tools, keeps work area tidy and clears waste and any spillages;performs a variety of manual tasks in relation to the operation of coke ovens, boilers and blast furnaces.",Minor Group 913: ELEMENTARY PROCESS PLANT OCCUPATIONSSub-Major Group 91: ELEMENTARY TRADES AND RELATED OCCUPATIONSMajor Group 9: ELEMENTARY OCCUPATIONS,9139, ELEMENTARY PROCESS PLANT OCCUPATIONS N.E.C.
