X,jobTitle
chartered engineer posse accredited university degree qualifying period appropriate training experience required membership chartered engineering institution attainable incorporated engineer posse accredited university degree btecsqa award apprenticeship leading nvqsvq level route followed period appropriate training relevant experience worker unit group perform variety professional engineering function classified minor group engineering professionals acoustic ian professional ceramic t food technologist metallurgist patent agent project engineer scientific consultant technical engineer technologist traffic engineer research problem area advance basic knowledge evaluate new theory technique solve specific problem establishes principle technique improve quality durability performance material textile glass rubber plastic ceramic metal alloy design new system equipment regard cost market requirement feasibility manufacture devise implement control system monitor operational efficiency performance system material prepare sketch drawing specification showing material construction finishing method detail examines advises patent application provides technical consultancy services minor group engineering professional sub major group science research engineering technology professional major group professional occupation, ENGINEERING PROFESSIONALS N.E.C.
entrant training usually posse gcsess grades vocational training consists fulltime study btecsqa award followed year onthejob training apprenticeship leading nvqsvq level nvqsvq aircraft engineering maintenance level plus professional qualification required licensed aircraft engineer engineering technician perform variety technical support function assist engineer design development operation installation maintenance engineering system constructions aircraft technician commissioning engineer engineering technician manufacturing engineer mechanical technician plan prepares work test schedule based specification drawing set equipment undertakes test reading performs calculation record interprets data prepares estimate material equipment labour required engineering project diagnosis detects fault implement procedure maintain efficient operation system equipment inspects completed aircraft maintenance work certify meet standard aircraft ready operation visit advises client use servicing mechanical chemical engineering product services minor group science engineering production technician sub major group science engineering technology associate professional major group associate professional technical occupation, ENGINEERING TECHNICIANS
good degree relevant subject normally minimum entry qualification employer require postgraduate qualification relevant work experience complement academic qualification highly desirable professional qualification wide range area work available jobholder unit group investigate address advise variety terrestrial marine environment resource management issue including development implementation environmental policy remedy address impact human activity industrial process environment energy manager environmental consultant environmental engineer environmental protection officer environmental scientist landfill engineer identifies contamination land air water ass adverse impact environment advises provides solution mitigating effect contamination implement remediation work carry environmentrelated deskbased research fieldwork collect analyse interpret data determine validity quality significance carry environmental audit environmental impact assessment communicates scientific technical information relevant audience appropriate form report workshop educational event public hearing assist organisation conduct activity environmentally appropriate manner implement review advises regulatory legislative standard guideline policy provides professional guidance client government agency regulator relevant body having regard sustainable approach solutions minor group conservation environment professional sub major group science research engineering technology professional major group professional occupation, ENVIRONMENT PROFESSIONALS
entry possible variety academic qualifications entrant typically posse gcsess grade levelsh grade gnvqsgsvqs btecsqa awards professional qualification available required employers estimator valuer assessor plan undertake calculation probable cost civil mechanical electrical electronic project estimate value property chattel investigate insurance claim ass validity assign liability claim assessor claim investigator engineering surveyor estimator loss adjuster value r examines plan drawing specification list etc specifies material component required ass condition location desirability amenity property valued ass cost material labour factor required profit margin transport cost tariff fare structure possible hazard etc prepares comprehensive estimate time cost present report tender form examines insurance document ass extent liability gather information incident police medical record shipï¿½s log etc investigates potential fraudulent claims minor group business finance related associate professional sub major group business public service associate professional major group associate professional technical occupation," ESTIMATORS, VALUERS AND ASSESSORS"
formal academic entry requirement gcsess grade advantageous entry typically apprenticeship traineeship approved constructionskills leading nvqsvq general construction level floorers wall tiler lay composition mixture mastic asphalt form flooring plan fit secure carpet underlay linoleum cover decorate wall floor terrazzo granolithic mixture tile mosaic panels carpet fitter ceramic tile r flooring contractor mosaic floor layer examines drawing specification determine job requirement clean floor surface fix wooden laying guide mix pours level granite terrazzo mixture bitumen synthetic resin composition mixture form flooring examines premise plan suitable layout cut lay secures underlay carpet linoleum finish covering rolling smoothing grouting polishing mix cement screed adhesive cut position floor wall tile check alignment tiling spirit level minor group building finishing trade sub major group skilled construction building trade major group skilled trade occupation, FLOORERS AND WALL TILERS
formal academic entry requirement gcsess grade advantage off onthejob training available nvqs svqs food drink manufacturing operation available level nvqssvqs tobacco processing available level food drink tobacco process operative set operate attend machinery bake freeze heat crush mix blend process foodstuff beverage tobacco leaves baker food product m fr bakery assistant factory worker food product m fr meat processor process worker brewery process worker dairy set operates attends machinery oven mix bake prepare bread flour confectionery product operates machinery crush mix malt cook ferment grain fruit produce beer wine malt liquor vinegar yeast related productsattends equipment jam toffee cheese processed cheese margarine syrup ice pasta icecream sausage chocolate maize starch edible fat dextrinoperates equipment cool heat dry roast blanch pasteurise smoke sterilise freeze evaporate concentrate foodstuff liquid food processingmixes pulp grind blend separate foodstuff liquid churning pressing sieving grinding filtering equipmentprocesses tobacco leaf hand machine cigarette cigar pipe tobacco product minor group process operative sub major group process plant machine operative major group process plant machine operative," FOOD, DRINK AND TOBACCO PROCESS OPERATIVES"
formal academic requirement employer require gcsess grades training mainly onthejob nvqssvqs available areas worker unit group repair shoe cut sew decorate finish leather leather substitute good garments cobbler leather worker leather good m fr machinist leather good m fr shoe machinist shoe repair er hand tool machine cut trim punch hole stitch guide line leather leather substitute component position leather rubber footwear component shape join upper insole sol hand tool machine repair saddle harness belt strap leather product hand machine tool sew stitch leather andor material making decoration footwear leather good garment prepares paper paperboard master pattern component footwear wax clean finish footwear leather goods minor group textile garment trade sub major group textile printing skilled trade major group skilled trade occupation, FOOTWEAR AND LEATHER WORKING TRADES
minimum academic entry requirements training typically received onthejob supplemented short course covering specialised skills nvqssvqs forestry available level btec diploma apprenticeship areas forestry worker perform variety task related planting cultivation protection trees forestry contractor forestry worker lumberjack prepares ground planting clearing vegetation debris drain plough land erects maintains fence necessary collect seed plant prune tree selects mark tree felling fell tree axe power saw saw wood required length cut coppice remove standing tree lops branch necessary assist control harmful disease pest form wildlife build maintains forest road maintains watch fire operates fire fighting equipment minor group elementary agricultural occupation sub major group elementary trade related occupation major group elementary occupation, FORESTRY WORKERS
formal entry requirement entrant typically posse variety academic vocational qualifications training provided off onthejob number nvqssvqs vocational qualification covering aspect furniture production wood machining available levels apprenticeship cabinet making available areas furniture maker craft woodworker repair restore wooden furniture decorative object crafted piece woodwork antique restorer cabinet maker coffin maker furniture restorer picture framer prayer furniture m fr examines drawing specification determine job requirement appropriate material selects measure cut shape wood saw chisel plane powered hand tool woodworking machine assembles crafted joint nail screw dowel adhesive fit lock catch hinge castor drawer shelf fitting remove replaces repair damaged wooden furniture measure floor area covered lay wood block parquet panel hardwood strip match mark veneer ready cutting examines repair defect veneer plywood sheets minor group skilled trade sub major group textile printing skilled trade major group skilled trade occupation, FURNITURE MAKERS AND OTHER CRAFT WOODWORKERS
education lecturer normally require professional academic qualification subject area intend teach relevant professional industrial business experience appropriate teaching qualification education teaching professional supervise teach trade technical commercial adult education secondary postsecondary course student minimum school leaving age fe college lecturer lecturer education teacher education tutor education prepares delivers directs lecture seminar tutorial prepares administers mark examination essay assignment arranges instructional visit period employment experience student assist administration teaching arranging timetable liaises professional commercial organisation review course content minor group teaching educational professional sub major group teaching educational professional major group professional occupation, FURTHER EDUCATION TEACHING PROFESSIONALS
formal academic entry requirements training typically provided onthejob nvqs svqs level available areas glass ceramic worker form shape decorate smooth polish glassware earthenware refractory good clay brick ceramic goods ceramic artist glass blower potter ceramic m fr pottery worker prayer ceramic m fr stained glass artist hand tool operates machinery heat bend shape press drill cut glass artificial eye laminated glass sheet block glass fibre tissue wool filament matting mark optical lens assembles rimless spectacle model mould moulding clay plaster use making casting pottery ceramic good throw cast press clay hand machine form pottery stoneware refractory good brick crucible ornament sanitary furnishing saggars cup saucer plate roofing tile cut join unfired stoneware pipe form junction gully mould sealing band clay pipe prepares join porcelain earthenware component assist crucible maker stone worker task applies decorative design finish glassware optical glass ceramic good grinding smoothing polishing cutting etching dipping painting transferring pattern labels minor group skilled trade sub major group textile printing skilled trade major group skilled trade occupation," GLASS AND CERAMICS MAKERS, DECORATORS AND FINISHERS"
academic qualification normally required training onthejob extent depending equipment type operation performed nvqssvqsvocational qualification covering glass processing glass manufacturing kiln operation manufacturing ceramic item available level glass ceramic process operative position article ready firing kiln operate attend furnace kiln treat glass ceramic items glass worker kiln man glass m fr process worker fibre glass m fr directs loading furnace prescribed quantity type ingredientssets timing temperature control monitor pressure gauge adjusts control necessary regulates level glass furnace requiredoperates control rotate rotary furnace create vacuum vacuum furnace ensures static furnace correctly positioned switch currentmonitors temperature drying annealing kiln report significant deviation schedule sheetcuts heat supply firingheatingdrying clean furnace kiln area minor group process operative sub major group process plant machine operative major group process plant machine operative, GLASS AND CERAMICS PROCESS OPERATIVES
formal academic entry requirements entry typically apprenticeship glazing installation installing architectural glazing system leading nvqsvq level job holder unit group install preglazed wooden metal pvc framework cut fit set glass window door shop structural frames glass cutter glazier installer double glazing window fabric window fitter examines drawing specification determine job requirement score plain coloured safety ornamental glass hand cutter break glass hand plier smoothes edge glass position secures frame grooved lead strip applies mastic putty adhesive glass frame trim excess knife fix mirror panel interior exterior wall repair replaces broken glass minor group construction building trade sub major group skilled construction building trade major group skilled trade occupation," GLAZIERS, WINDOW FABRICATORS AND FITTERS"
formal academic entry requirements nvqssvqs horticulture available level professional qualification royal horticultural society available horticultural trade worker intensively cultivate vegetable plant fruit shrub tree flower greenhouse market garden nursery orchards grower horticultural t market gardening market gardener nursery assistant agriculture nurseryman prepares soil field bed pot hand machine mix soil compost fertiliser andor organic matter spread fertiliser manure sow seed bulb transplant seedling propagates plant taking cutting grafting budding applies weedkiller fungicide insecticide control pest disease prune thins tree shrub support tree staking wiring minor group agricultural related trade sub major group skilled agricultural related trade major group skilled trade occupation, HORTICULTURAL TRADES
formal academic entry requirements training typically received onthejob nvqssvqs covering aspect industrial cleaning available level qualification offered british institute cleaning science job holder unit group clean manufactured good plant machinery industrial commercial premises cleaner grease r factory cleaner hygiene operator industrial cleaner industrial hoovering polishing pressure washer steam cleaning sandblasting equipment clean commercial industrial premise public building building exterior dismantles engine boiler furnace industrial plant machinery clean component reassembles equipment wash rinse dry clean manufactured good stack cleaned article ready removal minor group elementary process plant occupation sub major group elementary trade related occupation major group elementary occupation, INDUSTRIAL CLEANING PROCESS OCCUPATIONS
preset entry requirement candidate usually posse degree equivalent qualification substantial relevant work experience variety professional postgraduate qualification available job holder unit group plan organise direct coordinate work resource necessary provide operate information technology telecommunication service organisation director technical director computer service telecommunication director develops consultation senior management ittelecommunications strategy organisation directs implementation organisation ittelecommunications strategy infrastructure procurement procedure standard develops periodic business plan operational budget ittelecommunications deliver agreed service level considers required ittelecommunications staffing level oversees recruitment appointment staff directs training policy prioritises schedule major ittelecommunications project ensures new technology researched evaluated light organisationï¿½s broad requirements minor group functional manager director sub major group corporate manager director major group manager director senior official, INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS DIRECTORS
entrant usually posse degree equivalent qualification entry academic qualification andor significant relevant experience possible variety relevant vocational professional postgraduate qualification available job holder unit group perform variety task classified minor group information technology telecommunication professionals consultant quality analyst computing software tester system tester computing telecommunication planner undertakes testing software system computer game error identifies source problem proposes solution develops implement document test plan software system computer game develops quality standard validation technique recommendation concerning softwaresystem quality examines system potential threat security integrity draw plan disaster recovery security compromised deal report breach security minor group information technology telecommunication professional sub major group science research engineering technology professional major group professional occupation, INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS PROFESSIONALS N.E.C.
entrant usually posse degree equivalent qualification entry academic qualification andor significant relevant experience possible variety relevant vocational professional postgraduate qualification available worker unit group provide advice effective utilisation design system order meet business objective enhance business effectiveness organisation business analyst computing data communication analyst system analyst system consultant technical analyst computing technical architect liaises internalexternal client order analyse business procedure clarify clientsï¿½ requirement define scope existing software hardware network provision undertakes feasibility study major development incorporating cost benefit present proposal client communicates impact emerging technology client advises potential introduction technology provides advice assistance procurement provision delivery installation maintenance use system environment examines existing business model flow data design functional specification test plan new system order meet clientsï¿½ need research analysis evaluates monitor network infrastructure performance work closely client implement new systems minor group information technology telecommunication professional sub major group science research engineering technology professional major group professional occupation," IT BUSINESS ANALYSTS, ARCHITECTS AND SYSTEMS DESIGNERS"
entry possible variety academic qualification andor relevant experience entrant typically posse gcsess grade levelsh grade btecsqa award advanced gnvq gsvq level iii degree training usually provided onthejob supplemented specialised courses postgraduate professional qualification nvqssvqs level available engineer install maintain repair physical component computer system equipment computer repair er computer service engineer hardware engineer computer maintenance engineer computer servicing installs test maintains computerrelated hardware processor memory chip circuit board display sensor data storage device printer etc according given specification diagnosis hardware related fault repair replaces defective component advises installs operating softfirm ware carry upgrade maintains documentation track log work progress completed minor group electrical electronic trade sub major group skilled metal electrical electronic trade major group skilled trade occupation, IT ENGINEERS
entry possible variety academic qualification andor relevant experience entrant typically posse gcsess grade levelsh grade appropriate nvqsvq level equivalent vocational qualification employer demand relevant degree training provided off onthejob supplemented specialised courses postgraduate professional qualification apprenticeship area available operation technician responsible daytoday running system network including preparation backup system performing regular check ensure smooth functioning systems computer game tester database administrator technician network administrator system administrator administers monitor support internalexternal network server email database security systemsconfigures set new server system schedule performs system maintenance task loading user application program dataanalyses system recommendation improve performanceidentifies problem agrees remedial action undertakes emergency maintenance required performs server backup recovery operation restarts system following outagesacts liaison user outside supplier technical team minor group information technology technician sub major group science engineering technology associate professional major group associate professional technical occupation, IT OPERATIONS TECHNICIANS
entrant usually posse degree equivalent qualification entry academic qualification andor significant relevant experience possible variety relevant vocational professional postgraduate qualification available jobholder unit group manage coordinate technically supervise specific project programme discrete duration andor budget implementation manager computing project manager programme manager computing project leader software design work client senior management establish clarify aim objective requirement project programme plan stage project programme review action amends plan necessary coordinate supervises activity projectprogramme team manages party contribution programme project monitor progress including projectprogramme budget timescale quality coordinate oversees implementation project programme report project programme senior management andor client minor group information technology telecommunication professional sub major group science research engineering technology professional major group professional occupation, IT PROJECT AND PROGRAMME MANAGERS
entrant usually posse degree equivalent qualification entry academic qualification andor significant relevant experience possible variety vocational professional postgraduate qualification available specialist manager plan organise manage coordinate provision specialist service function organisation data centre manager manager support manager network operation manager computer service service delivery manager plan coordinate manages organisationï¿½s provision specialist area activity liaises user senior staff internalexternal client clarify requirement development need responsibility managing development specialist aspect provision user support network operation service delivery quality control supervises technical team coordinate training plan monitor work maintenance schedule ensure agreed service level achieved report activity senior management minor group information technology telecommunication professional sub major group science research engineering technology professional major group professional occupation, IT SPECIALIST MANAGERS
entry possible variety academic qualification andor relevant experience entrant typically posse gcsess grade levelsh grade appropriate nvqsvq level equivalent vocational qualification employer demand relevant degree training provided off onthejob supplemented specialised courses postgraduate professional qualification apprenticeship area available user support technician responsible providing technical support advice guidance internalexternal user system application directly telephone email network interaction customer support analyst help desk operator support technician system support officer provides technical support usersadvises user resolve hardware software problemsinstalls upgrade hardware cable operating system andor appropriate softwarefacilitates user access systemsrefers complex intractable problem appropriate professionalsresearches possible solution user guide technical manual documentsmaintains log work progress received action taken problem detected report commonly occurring query detect underlying problems minor group information technology technician sub major group science engineering technology associate professional major group associate professional technical occupation, IT USER SUPPORT TECHNICIANS
entry varies employer employer entrant usually posse gcsess grade appropriate btecsqa award gnvqgsvq professional qualification nvqssvqs level apprenticeship available area work good eyesight case normal colour vision required laboratory technician carry routine laboratory test check perform variety technical support function requiring application established prescribed procedure technique assist scientist research development analysis testing verify physical chemical characteristic material products laboratory analyst laboratory technician medical laboratory assistant scientific technician water tester set assist construction development scientific apparatus experimental demonstration purpose prepares analysis body fluid secretion andor tissue detect infection examine effect different drug grows culture bacteria virus prepares tissue section organic inorganic material examination stain fix slide microscope work operates service specialised scientific equipment undertakes prescribed measurement analysis ensures sterile condition necessary equipment maintained record collates data obtained experimental work document work carried minor group science engineering production technician sub major group science engineering technology associate professional major group associate professional technical occupation, LABORATORY TECHNICIANS
formal academic entry requirement employer expect entrant posse gcsess grades candidate expected pas medical examination good eyesight training place nautical college weeks marine waterway transport operative supervise carry variety deck duty operate maintain engine boiler mechanical equipment board ship boat marine vessels engine room attendant shipping engineer boat barge ferryman merchant seaman seaman shipping ensures necessary fuel supply board inspects engine boiler mechanism correct functioning remove repair replaces damaged worn plant machinery ensures engine plant machinery lubricated stows cargo assist passenger embark disembark watch hazard moor cast mooring rope required steer ship supervision duty officer check navigational aid bridge wheel chartroom clean tidy performs deck duty including servicing maintaining deck gear rigging splicing wire fibre rope greasing winch derrick opening battening hatch securing gangway ladder lowering raising lifeboats minor group driver transport operative sub major group transport mobile machine driver operative major group process plant machine operative, MARINE AND WATERWAYS TRANSPORT OPERATIVES
mechanical engineer usually posse accredited university degree qualifying period appropriate training experience required membership chartered engineering institution attainable incorporated engineer posse accredited university degree btecsqa award apprenticeship leading nvqsvq level followed period training relevant experience mechanical engineer undertake research design direct manufacture manage operation maintenance engine machine aircraft vehicle shipsï¿½ structure building service mechanical items aeronautical engineer professional aerospace engineer automotive engineer professional marine engineer professional mechanical engineer professional undertakes research advises energy use material handling thermodynamic process fluid mechanic vehicle environmental control determines material equipment piping capacity layout plant system specification manufacture design mechanical equipment steam internal combustion nonelectrical motor railway locomotive road vehicle aeroplane machinery ensures equipment operation maintenance comply design specification safety standard organises establishes control system monitor operational efficiency performance material systems minor group engineering professional sub major group science research engineering technology professional major group professional occupation, MECHANICAL ENGINEERS
formal academic requirement employer require gcsess grades engineering apprenticeship btec city guild qualification available onthejob training nvqs svqs level available job holder unit group operate machine drill bore grind cut mill shape metal workpieces c nc machinist c nc programmer centre la turner miller metal trade tool setter turner examines drawing specification determine appropriate method sequence operation machine setting selects fix workholding device appropriate cutting shaping grinding andor forming tool set machine control rotation speed depth cut stroke adjusts machine table stop guide operates automatic manual control feed tool workpiece vice versa check accuracy machining reposition workpiece change tool reset machine necessary production run instructs operator safe correct method operation machine minor group metal machining fitting instrument making trade sub major group skilled metal electrical electronic trade major group skilled trade occupation, METAL MACHINING SETTERS AND SETTER-OPERATORS
formal academic entry requirements training typically provided onthejob nvqs svqs steel making steel refining steel casting metal forging available level metal making treating process operative operate furnace oven heating vessel drawing rolling extruding galvanising forging metal processing equipment smelt shape treat metal metal products de grease r metal trade foreman metal refining furnace man metal trade process worker nickel m fr wire drawer charge furnace operates control regulate furnace temperature add oxidising alloying fluxing agent required withdraws sample molten metal analysis tap slag surface molten metal directs flow molten metal cast set rolling speed tension space roll guide metal roller monitor rolling process detect irregularity ensure gauge finish match required specification operates equipment remove dirt scale surface impurity immersion chemical solution heat metal metal article furnace allows cool specified time quenches brine oil water harden reduces brittleness restores ductility operates piercing extruding pressing metal processing equipment shape treat metal metal articles minor group process operative sub major group process plant machine operative major group process plant machine operative, METAL MAKING AND TREATING PROCESS OPERATIVES
entrant typically posse gcsess grades training usually apprenticeship including practical experience technical training apprenticeship engineering material processing engineering assembly engineering construction available metal plate worker riveter mark drill shape position rivet seal metal plate girder form structure frameworks boiler maker metal plate worker plate rp later welder examines drawing specification rule scribe punch mark metal plate guideline reference point cut metal plate marking hand machine tool machine tool bend curve punch drill straighten metal plate required hydraulic jack position align metal platework frame welding bolting selects suitable rivet rivet metal plate girder seal seam caulking compound smoothes weld fix metal door metal collar porthole tank hatch cover performs metal plate finishing task variety hand power tools minor group metal forming welding related trade sub major group skilled metal electrical electronic trade major group skilled trade occupation," METAL PLATE WORKERS, AND RIVETERS"
formal academic entry requirements training isï¿½typically received onthejob nvqssvqs engineering machining available metal working machine operative operate machine cut shape abrade machine metal use hand power tool remove surplus metal rough surface casting forging metal clean smooth polish metal workpieces engineer machinist metal trade metal polisher process worker metal trade secures workpiece drilling boring milling planing grinding lapping honing electrochemical shaping machine load metal stock press set control start machine operates control feed tool workpiece vice versa reposition workpiece machining required withdraws workpiece examines accuracy measuring instrument operates burning chipping grinding equipment remove defect metal file chisel burn saw surplus metal smoothes rough surface hand tool abrasive belt wheel compressed air jet vapour blasting shot grit sand abrasive material selects secures polishing head machine tool prepares head emery grease substance set speed angle polishing head operates control feed polishing head workpiece vice versa minor group plant machine operative sub major group process plant machine operative major group process plant machine operative, METAL WORKING MACHINE OPERATIVES
entrant usually posse gcsess grade gnvq gsvq btecsqa award apprenticeship engineering maintenance nvqsvq level available metal working production maintenance fitter erect install repair electrical mechanical plant industrial machinery fit assemble subassembly manufacture metal product test adjust new motor vehicle engines agricultural engineer bench fitter engineering machinist fabric installation engineer maintenance fitter mechanical engineer examines drawing specification determine appropriate method sequence operation fit assembles andor metal subassembly fine tolerance marine engine prototype metal product agricultural machinery machine tool fit assembles fine tolerance prepared subassembly motor vehicle printing agricultural machinery orthopaedic appliance metal good examines operation adjustment internal combustion engine motor vehicle erects installs repair service plant industrial machinery including railway stock textile machine coin operated machine lock sewing machine bicycle gas oil appliances minor group metal machining fitting instrument making trade sub major group skilled metal electrical electronic trade major group skilled trade occupation, METAL WORKING PRODUCTION AND MAINTENANCE FITTERS
entrant typically posse gcsess grade relevant practical experience training apprenticeship including practical experience technical training apprenticeship engineering material processing nvqsvq level available moulders core maker die caster sand loam plaster mould core casting metal pour inject molten metal dy hand machine core maker metal trade die caster moulder metal trade pipe maker foundry position moulding frame pattern fill sand loam plaster compact hand machine transfer mould unit oven baking hardens injecting carbon dioxide separate mould pattern repair damage imperfection mould surface applies refractory bonding solution mould dy prevent molten metal fusing sand fit core mould form hollow casting prepares casting pit vent allow escape gas scoop molten metal furnace ladle pours die die casting machine minor group metal forming welding related trade sub major group skilled metal electrical electronic trade major group skilled trade occupation," MOULDERS, CORE MAKERS AND DIE CASTERS"
entry common degree equivalent qualification possible academic qualification andor relevant experience onthejob training andor support postgraduate study provided professional qualification available area activity jobholder unit group perform variety scientific research related activity classified minor group natural social science professionals operational research scientist research associate medical research fellow university researcher university scientific officer scientist sport scientist university researcher plan directs undertakes research natural phenomenon provides technical advisory consulting service design test experiment address research objective find solution applies model technique medical industrial agricultural military similar application analysis result writes result test experiment undertaken present result scientific research sponsor address conference publishes article outlining methodology result research undertaken design develops appropriate research methodology order address research objective compiles analysis quantitative qualitative data prepares report present result summarise main finding conclusion advises government private organisation special interest group policy issue writes journal article book address conference seminar medium reveal research findings minor group natural social science professional sub major group science research engineering technology professional major group professional occupation, NATURAL AND SOCIAL SCIENCE PROFESSIONALS N.E.C.
position entry doe depend academic qualifications entrant generally pas selection interview physical medical examinations entry certain trade requires gcsess grade equivalent qualifications holding job unit group fulltime member armed force uk commonwealth foreign country perform military duty civilian equivalent aircraft man aircraft technician armed force lance corporal sergeant armed force soldier weapon engineer armed force receives responds command senior officer monitor operates service repair military equipmenttakes military operation situation conflict provides aid required emergency situation civil disorder natural disaster major accident engages peacekeeping operation enforces ceasefire agreement stand watch guard military establishment buildingstrains exercise military equipment tactic undertakes specialist activity operating communication equipment driving military vehicle patrol area possible military activity lead train new recruit lower rank look discipline welfare minor group protective service occupation sub major group protective service occupation major group associate professional technical occupation, NCOs AND OTHER RANKS
entry commission uk armed force possible gcsess grade levelsh grade higher academic qualification promotion nco rank arm force ha different age restrictions candidate pas medical examination interview officer armed force serve commissioned officer majestyï¿½s armed force foreign commonwealth armed force plan direct organise administer military operation perform duty civilian equivalent army officer flight lieutenant squadron leader advises provides information military aspect defence policy plan directs coordinate military training manoeuvre supervises operation military unit monitor activity junior officer ncos rank plan directs administers aid civilian authority requested faced civil disorder natural disaster emergency minor group senior officer protective service sub major group corporate manager director major group manager director senior official, OFFICERS IN ARMED FORCES
formal academic entry requirements training typically apprenticeship specialised courses nvqssvqs available areas worker unit group engrave jewellery stoneware artificial hairpiece charge firework munition explosive material lampshade wickerwork toy doll model candle artificial flower fancy good pattern mould metal casting tune musical instrument craft precious metal stone perform hand craft occupation classified minor group skilled trades diamond mount er engraver goldsmith paint sprayer piano tuner sign maker silversmith wig maker hand machine tool engrave letter pattern design jewellery stoneware construct cover wire frame lampshade wig beard artificial hairpiece human hair synthetic material interweaves cane willow withy bamboo rattan similar material basket piece wickerwork charge firework cartridge munition explosive material childrens toy doll model candle artificial flower fancy good maintains adapts surgical orthopaedic appliance pattern mould fit metal casting pours plaster fill plaster mould resin smoothes surface musical instrument assembles musical instrument tune improve pitch tone volume repair jewellery decorative precious metal ware set cut polish gemstone master pattern article jewellery minor group skilled trade sub major group textile printing skilled trade major group skilled trade occupation, OTHER SKILLED TRADES N.E.C.
academic qualification required training typically provided onthejob varies according type packing product formal course run specialist packing jobholder unit group pack wrap fill label seal container hand machine factory worker packing packaging operator packer paint filler selects appropriate cylinder ensures corrosion damage fill gas fill tube ampoule bottle drum barrel bag sack box container hand measuringweighing aid positioning container feeder spout pack heavy good crate box hoist mobile crane similar lifting equipment load machine packaging container material adhesive etc load hopper item packagedwrapped monitor filling wrapping packaging adjusts control necessary clear blockage examines bottle seal reject faulty label good hand machine pack specialist item according specification completes necessary documentation minor group elementary process plant occupation sub major group elementary trade related occupation major group elementary occupation," PACKERS, BOTTLERS, CANNERS AND FILLERS"
formal academic entry requirements training typically provided onthejob nvqs svqsvocational qualification fibreboard operation paper board making inï¿½leather production available level nvqssvqsvocational qualification wood machining available level paper wood machine operative operate machine treat cut wood produce treat cut paper paperboard leatherboard plasterboard similar material assemble wooden crate containers box maker cardboard guillotine operator printing machinist paper good m fr sawyer wood machinist cut shape wood hand power tool assembles wooden crate barrel wooden container nail bolt staple fit metal strip corner piece strengthen container required examines job requirement ascertains necessary ingredient load machine beat mix crush wood cork pulp processing attends operates oven kiln milling filtering straining calendering coating drying finishing winding machine produce andor treat wood paper paperboard leatherboard plasterboard set adjusts edge guide stop blade cutting machine thread material roller load machine hopper start monitor operation machine remove completed work clear machine waste material minor group plant machine operative sub major group process plant machine operative major group process plant machine operative, PAPER AND WOOD MACHINE OPERATIVES
entrant training usually posse gcsess grade equivalent training typically combination practical experience study college open learning vocational qualifications register pharmacy technician royal pharmaceutical society great britain nvq svq pharmacy service level required pharmaceutical technician work hospital community assist pharmacist preparation dispensing drug medicines dispensing technician pharmaceutical technician pharmacy technician check received prescription legality accuracyprepares drug medicine supervision pharmacistprepares specialised tailormade drug intravenous administration hospital medical staff label check item prior dispensingmaintains record prescription received drug issuedadvises patient customer use drug prescribed medication purchased countercheck stock level order new stock pharmaceutical company ensures drug stored appropriately minor group health associate professional sub major group health social care associate professional major group associate professional technical occupation, PHARMACEUTICAL TECHNICIANS
entrant usually posse degree entry possible appropriate btecsqa award specialist training provided job higher degree professional qualification available physical scientist study relationship matter energy physical phenomenon nature composition structure earth planetary body forecast weather condition electrical magnetic seismic thermal activity geologist geo physicist medical physicist meteorologist oceanographer physicist seismologist conduct experiment test mathematical model theory investigate structure property matter transformation propagation energy behaviour particle interaction form energy survey seismology method determine earthï¿½s mantle crust rock structure type toï¿½analyse predict occurrence seismological activity observes record collates data atmospheric condition weather station satellite observation vessel plot forecast weather condition applies mathematical model technique assist solution scientific problem industry commerce seek new application mathematical analysis minor group natural social science professional sub major group science research engineering technology professional major group professional occupation, PHYSICAL SCIENTISTS
formal academic entry requirement employer expect entrant posse gcsess grades training usually apprenticeship including practical experience technical training nvqssvqs mechanical engineering service plumbing level available worker unit group install pipe system maintain repair pipe major utility industrial construction setting sites pipe engineer pipe fitter pipe welder fitter examines drawing specification determine layout piping measure cut required length copper lead steel iron aluminium plastic piping hand machine tool installs pipe heating ventilating fire prevention water similar system industrial construction setting including oil rig terminal sewerage system main network fit piping position join section welding soldering cementing fusing screwing method test pipe work leak necessary adjustments minor group metal forming welding related trade sub major group skilled metal electrical electronic trade major group skilled trade occupation, PIPE FITTERS
entrant training usually posse gcses s grades vocational training consists fulltime study btecsqa national award followed year onthejob training apprenticeship leading nvqsvq level job holder unit group perform variety technical support function assist production process planning engineer production programme schedule manufacturing processing procedure order ensure accuracy costeffectiveness efficiency process technician production controller production planner production technician support planning production engineer assessing existing alternative production method work help implement professional engineersï¿½ drawing specification equipment layout help implement modification required existing plant machinerylayout work engineer production control method monitor operational efficiency help eliminate potential hazard bottleneck production liaises material buying storing controlling department ensure steady flow supply support professional engineer reviewing safety quality accuracy reliability contractual requirement support implementation plan sequence operation completion date phase production processing ensures implementation inspection testing evaluation method boughtin material component semifinished finished product ensures accuracy manufacturing testing equipment ensures effective completion implementation detailed instruction process work method quality safety standard workers minor group science engineering production technician sub major group science engineering technology associate professional major group associate professional technical occupation," PLANNING, PROCESS AND PRODUCTION TECHNICIANS"
